element_key,input_text,target_text_xpath,target_text_css,class
cls_div_product-grid-product__info-wrapper,"<div class=""product-grid-product__info-wrapper""><div class=""product-grid-product-info""><div class=""product-grid-product-info__product-header product-grid-product-info__product-header--with-wishlist""><div class=""product-grid-product-info__main-info""><a class=""product-link _item product-grid-product-info__name link"" data-qa-action=""product-click"" draggable=""false"" href=""https://www.zara.com/ie/en/regular-fit-denim-bermuda-shorts-p05575415.html"" tabindex=""0""><h3>REGULAR FIT DENIM BERMUDA SHORTS</h3></a><p clas","//div[contains(@class, 'product-grid-product__info-wrapper')]",div.product-grid-product__info-wrapper,product-grid-product__info-wrapper
cls_div_product-grid-product-info,"<div class=""product-grid-product-info""><div class=""product-grid-product-info__product-header product-grid-product-info__product-header--with-wishlist""><div class=""product-grid-product-info__main-info""><a class=""product-link _item product-grid-product-info__name link"" data-qa-action=""product-click"" draggable=""false"" href=""https://www.zara.com/ie/en/regular-fit-denim-bermuda-shorts-p05575415.html"" tabindex=""0""><h3>REGULAR FIT DENIM BERMUDA SHORTS</h3></a><p class=""product-grid-product-info-colors product-grid","//div[contains(@class, 'product-grid-product-info')]",div.product-grid-product-info,product-grid-product-info
cls_div_product-grid-product-info__product-header,"<div class=""product-grid-product-info__product-header product-grid-product-info__product-header--with-wishlist""><div class=""product-grid-product-info__main-info""><a class=""product-link _item product-grid-product-info__name link"" data-qa-action=""product-click"" draggable=""false"" href=""https://www.zara.com/ie/en/regular-fit-denim-bermuda-shorts-p05575415.html"" tabindex=""0""><h3>REGULAR FIT DENIM BERMUDA SHORTS</h3></a><p class=""product-grid-product-info-colors product-grid-product-info__colors""><span class=""pro","//div[contains(@class, 'product-grid-product-info__product-header')]",div.product-grid-product-info__product-header,product-grid-product-info__product-header product-grid-product-info__product-header--with-wishlist
cls_div_product-grid-product-info__main-info,"<div class=""product-grid-product-info__main-info""><a class=""product-link _item product-grid-product-info__name link"" data-qa-action=""product-click"" draggable=""false"" href=""https://www.zara.com/ie/en/regular-fit-denim-bermuda-shorts-p05575415.html"" tabindex=""0""><h3>REGULAR FIT DENIM BERMUDA SHORTS</h3></a><p class=""product-grid-product-info-colors product-grid-product-info__colors""><span class=""product-grid-product-info-colors__bubble"" role=""img"" aria-label=""Stone"" style=""background-color:#D9D4CB""></span><sp","//div[contains(@class, 'product-grid-product-info__main-info')]",div.product-grid-product-info__main-info,product-grid-product-info__main-info
cls_span_product-grid-product-info-colors__bubble,"<span class=""product-grid-product-info-colors__bubble"" role=""img"" aria-label=""Stone"" style=""background-color:#D9D4CB""></span>","//span[contains(@class, 'product-grid-product-info-colors__bubble')]",span.product-grid-product-info-colors__bubble,product-grid-product-info-colors__bubble
cls_span_product-grid-product-info-colors__text,"<span class=""product-grid-product-info-colors__text"">+<!-- -->1</span>","//span[contains(@class, 'product-grid-product-info-colors__text')]",span.product-grid-product-info-colors__text,product-grid-product-info-colors__text
cls_div_product-grid-product-info-wishlist,"<div class=""product-grid-product-info-wishlist""><button aria-label=""Add item to the wish list"" class=""wishlist-bookmark product-grid-product-info-wishlist__wishlist-button add-item-to-wishlist-button"" data-qa-action=""add-to-wishlist"" type=""button""><svg class=""wishlist-icon wishlist-icon--grid"" preserveAspectRatio=""xMidYMid slice"" width=""24"" heigth=""24"" height=""24"" viewBox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M6.5 6h11","//div[contains(@class, 'product-grid-product-info-wishlist')]",div.product-grid-product-info-wishlist,product-grid-product-info-wishlist
cls_button_wishlist-bookmark,"<button aria-label=""Add item to the wish list"" class=""wishlist-bookmark product-grid-product-info-wishlist__wishlist-button add-item-to-wishlist-button"" data-qa-action=""add-to-wishlist"" type=""button""><svg class=""wishlist-icon wishlist-icon--grid"" preserveAspectRatio=""xMidYMid slice"" width=""24"" heigth=""24"" height=""24"" viewBox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M6.5 6h11v12L12 14.487 6.5 18V6zm.658.646V16.81L12 13.716","//button[contains(@class, 'wishlist-bookmark')]",button.wishlist-bookmark,wishlist-bookmark product-grid-product-info-wishlist__wishlist-button add-item-to-wishlist-button
cls_div_product-grid-product-info__product-price,"<div class=""product-grid-product-info__product-price price""><span class=""price__amount-wrapper""><span class=""price-current price__amount"" data-qa-id=""price-container-current""><span class=""price-current__amount"" data-qa-qualifier=""price-amount-current""><div class=""money-amount price-formatted__price-amount""><span class=""money-amount__main"">29.95 EUR</span></div></span></span></span></div>","//div[contains(@class, 'product-grid-product-info__product-price')]",div.product-grid-product-info__product-price,product-grid-product-info__product-price price
cls_span_price__amount-wrapper,"<span class=""price__amount-wrapper""><span class=""price-current price__amount"" data-qa-id=""price-container-current""><span class=""price-current__amount"" data-qa-qualifier=""price-amount-current""><div class=""money-amount price-formatted__price-amount""><span class=""money-amount__main"">29.95 EUR</span></div></span></span></span>","//span[contains(@class, 'price__amount-wrapper')]",span.price__amount-wrapper,price__amount-wrapper
qaid_span_price-container-current,"<span class=""price-current price__amount"" data-qa-id=""price-container-current""><span class=""price-current__amount"" data-qa-qualifier=""price-amount-current""><div class=""money-amount price-formatted__price-amount""><span class=""money-amount__main"">29.95 EUR</span></div></span></span>",//span[@data-qa-id='price-container-current'],span[data-qa-id='price-container-current'],price-current price__amount
cls_span_price-current__amount,"<span class=""price-current__amount"" data-qa-qualifier=""price-amount-current""><div class=""money-amount price-formatted__price-amount""><span class=""money-amount__main"">29.95 EUR</span></div></span>","//span[contains(@class, 'price-current__amount')]",span.price-current__amount,price-current__amount
cls_div_money-amount,"<div class=""money-amount price-formatted__price-amount""><span class=""money-amount__main"">29.95 EUR</span></div>","//div[contains(@class, 'money-amount')]",div.money-amount,money-amount price-formatted__price-amount
cls_span_money-amount__main,"<span class=""money-amount__main"">29.95 EUR</span>","//span[contains(@class, 'money-amount__main')]",span.money-amount__main,money-amount__main
cls_div_products-category-seo-pagination,"<div class=""products-category-seo-pagination""><a href=""https://www.zara.com/ie/en/man-all-products-l7465.html?page=2"">2</a></div>","//div[contains(@class, 'products-category-seo-pagination')]",div.products-category-seo-pagination,products-category-seo-pagination
cls_div_products-category-view__fixed-footer,"<div class=""products-category-view__fixed-footer""></div>","//div[contains(@class, 'products-category-view__fixed-footer')]",div.products-category-view__fixed-footer,products-category-view__fixed-footer
cls_div_layout-footer-marketing,"<div class=""layout-footer-marketing""><section class=""layout-footer-newsletter layout-footer-marketing__newsletter""><div class=""grid-block grid-block--colums-5 grid-block--margin-left-0 grid-block--display-inline""><h3 class=""layout-footer-newsletter__title""><span>join our newsletter</span></h3><form class=""form form--two-column layout-footer-newsletter-form"" method=""POST"" id=""zds-5""><div class=""form__fields""><div class=""form-input layout-footer-newsletter-form__email""><div class=""form-input__wrapper""><div cl","//div[contains(@class, 'layout-footer-marketing')]",div.layout-footer-marketing,layout-footer-marketing
cls_div_grid-block,"<div class=""grid-block grid-block--colums-5 grid-block--margin-left-0 grid-block--display-inline""><h3 class=""layout-footer-newsletter__title""><span>join our newsletter</span></h3><form class=""form form--two-column layout-footer-newsletter-form"" method=""POST"" id=""zds-5""><div class=""form__fields""><div class=""form-input layout-footer-newsletter-form__email""><div class=""form-input__wrapper""><div class=""zds-input-base form-input-text__input zds-input-base--full-width""><label class=""zds-input-base__label"" for=""em","//div[contains(@class, 'grid-block')]",div.grid-block,grid-block grid-block--colums-5 grid-block--margin-left-0 grid-block--display-inline
cls_h3_layout-footer-newsletter__title,"<h3 class=""layout-footer-newsletter__title""><span>join our newsletter</span></h3>","//h3[contains(@class, 'layout-footer-newsletter__title')]",h3.layout-footer-newsletter__title,layout-footer-newsletter__title
cls_div_form__fields,"<div class=""form__fields""><div class=""form-input layout-footer-newsletter-form__email""><div class=""form-input__wrapper""><div class=""zds-input-base form-input-text__input zds-input-base--full-width""><label class=""zds-input-base__label"" for=""email4"" id=""zds-1"">Enter your email address here</label><input type=""text"" class=""zds-input-base__input"" name=""email"" data-qa-input-qualifier=""email"" aria-required=""true"" autocomplete=""email"" placeholder="" "" value="""" id=""email4"" aria-describedby=""zds-2""><div class=""zds-in","//div[contains(@class, 'form__fields')]",div.form__fields,form__fields
cls_div_form-input,"<div class=""form-input layout-footer-newsletter-form__email""><div class=""form-input__wrapper""><div class=""zds-input-base form-input-text__input zds-input-base--full-width""><label class=""zds-input-base__label"" for=""email4"" id=""zds-1"">Enter your email address here</label><input type=""text"" class=""zds-input-base__input"" name=""email"" data-qa-input-qualifier=""email"" aria-required=""true"" autocomplete=""email"" placeholder="" "" value="""" id=""email4"" aria-describedby=""zds-2""><div class=""zds-input-base__border""></div><d","//div[contains(@class, 'form-input')]",div.form-input,form-input layout-footer-newsletter-form__email
cls_div_form-input__wrapper,"<div class=""form-input__wrapper""><div class=""zds-input-base form-input-text__input zds-input-base--full-width""><label class=""zds-input-base__label"" for=""email4"" id=""zds-1"">Enter your email address here</label><input type=""text"" class=""zds-input-base__input"" name=""email"" data-qa-input-qualifier=""email"" aria-required=""true"" autocomplete=""email"" placeholder="" "" value="""" id=""email4"" aria-describedby=""zds-2""><div class=""zds-input-base__border""></div><div class=""zds-input-base__slot"" id=""zds-2""><div role=""alert"">","//div[contains(@class, 'form-input__wrapper')]",div.form-input__wrapper,form-input__wrapper
id_label_zds-1,"<label class=""zds-input-base__label"" for=""email4"" id=""zds-1"">Enter your email address here</label>",//label[@id='zds-1'],label#zds-1,zds-input-base__label
id_input_email4,"<input type=""text"" class=""zds-input-base__input"" name=""email"" data-qa-input-qualifier=""email"" aria-required=""true"" autocomplete=""email"" placeholder="" "" value="""" id=""email4"" aria-describedby=""zds-2"">",//input[@id='email4'],input#email4,zds-input-base__input
id_div_zds-2,"<div class=""zds-input-base__slot"" id=""zds-2""><div role=""alert""></div></div>",//div[@id='zds-2'],div#zds-2,zds-input-base__slot
cls_a_layout-footer-breadcrumbs__link,"<a class=""layout-footer-breadcrumbs__link link"" href=""https://www.zara.com/"" itemprop=""item"" tabindex=""0"" target=""_self""><span itemprop=""name"">ZARA</span></a>","//a[contains(@class, 'layout-footer-breadcrumbs__link')]",a.layout-footer-breadcrumbs__link,layout-footer-breadcrumbs__link link
cls_div_recom,"<a class=""layout-categories-category__link link"" data-qa-action=""unfold-category"" draggable=""false"" tabindex=""0""><span class=""layout-categories-category__name"">COLLECTION</span></a>","//div[contains(@class, 'recom')]",div.recom,recom
cls_div_zrc-zds-theme,"<a class=""category-topbar-related-categories__category-link link"" data-qa-action=""related-category-click"" draggable=""false"" href=""https://www.zara.com/ie/en/man-polos-l733.html"" tabindex=""0"">polo shirts</a>","//div[contains(@class, 'zrc-zds-theme')]",div.zrc-zds-theme,zrc-zds-theme
cls_button_zds-button,"<button aria-haspopup=""dialog"" class=""zds-button filters-button zds-button--tertiary-marginless zds-button--small"" data-qa-action=""filters-button"" role=""button""><span><span id=""filters-text""><span>Filters</span></span></span></button>","//button[contains(@class, 'zds-button')]",button.zds-button,zds-button filters-button zds-button--tertiary-marginless zds-button--small
cls_span_price-old__amount,"<span class=""price-old__amount price__amount price__amount-old"" data-qa-qualifier=""price-amount-old""><div class=""money-amount price-formatted__price-amount""><span class=""money-amount__main"">49.95 EUR</span></div></span>","//span[contains(@class, 'price-old__amount')]",span.price-old__amount,price-old__amount price__amount price__amount-old
cls_span_price-current__discount-percentage,"<span class=""price-current__discount-percentage"" dir=""ltr"" data-qa-qualifier=""price-discount-percentage"">-73%</span>","//span[contains(@class, 'price-current__discount-percentage')]",span.price-current__discount-percentage,price-current__discount-percentage
cls_span_price-original__amount,"<span class=""price-original__amount price__amount price__amount-original"" data-qa-qualifier=""price-amount-original""><div class=""money-amount price-formatted__price-amount""><span class=""money-amount__main"">25.95 EUR</span></div></span>","//span[contains(@class, 'price-original__amount')]",span.price-original__amount,price-original__amount price__amount price__amount-original
cls_span_layout-footer-breadcrumbs__separator,"<span class=""layout-footer-breadcrumbs__separator""> / </span>","//span[contains(@class, 'layout-footer-breadcrumbs__separator')]",span.layout-footer-breadcrumbs__separator,layout-footer-breadcrumbs__separator
id_span_zds-348,"<span class=""view-option-selector__label-text"" id=""zds-348"">VIEW</span>",//span[@id='zds-348'],span#zds-348,view-option-selector__label-text
cls_h2_product-grid__title,"<h2 class=""product-grid__title"">NEW COLLECTION</h2>","//h2[contains(@class, 'product-grid__title')]",h2.product-grid__title,product-grid__title
id_label_zds-351,"<label class=""zds-input-base__label"" for=""email350"" id=""zds-351"">Enter your email address here</label>",//label[@id='zds-351'],label#zds-351,zds-input-base__label
id_input_email350,"<input class=""zds-input-base__input"" id=""email350"" aria-describedby=""zds-352"" name=""email"" type=""text"" data-qa-input-qualifier=""email"" aria-required=""true"" autocomplete=""email"" placeholder="" "" value="""">",//input[@id='email350'],input#email350,zds-input-base__input
id_div_zds-352,"<div class=""zds-input-base__slot"" id=""zds-352""><div role=""alert""></div></div>",//div[@id='zds-352'],div#zds-352,zds-input-base__slot
cls_h1_content-header__title,"<h1 class=""content-header__title"">Personal details</h1>","//h1[contains(@class, 'content-header__title')]",h1.content-header__title,content-header__title
cls_div_form__column,"<div class=""form__column"" data-name=""email""><div class=""form-input form-input--has-help""><div class=""form-input__wrapper""><div class=""zds-input-base form-input-text__input zds-input-base--full-width""><label class=""zds-input-base__label"" for=""email3"" id=""zds-0"">E-mail</label><input type=""text"" class=""zds-input-base__input"" name=""email"" data-qa-input-qualifier=""email"" aria-required=""true"" autocomplete=""email"" placeholder="" "" value="""" id=""email3"" aria-describedby=""zds-1""><div class=""zds-input-base__border""></d","//div[contains(@class, 'form__column')]",div.form__column,form__column
id_label_zds-0,"<label class=""zds-input-base__label"" for=""email3"" id=""zds-0"">E-mail</label>",//label[@id='zds-0'],label#zds-0,zds-input-base__label
id_input_email3,"<input type=""text"" class=""zds-input-base__input"" name=""email"" data-qa-input-qualifier=""email"" aria-required=""true"" autocomplete=""email"" placeholder="" "" value="""" id=""email3"" aria-describedby=""zds-1"">",//input[@id='email3'],input#email3,zds-input-base__input
id_div_zds-1,"<div class=""zds-input-base__slot"" id=""zds-1""><div role=""alert""></div></div>",//div[@id='zds-1'],div#zds-1,zds-input-base__slot
id_label_zds-4,"<label class=""zds-input-base__label"" for=""password7"" id=""zds-4"">Password</label>",//label[@id='zds-4'],label#zds-4,zds-input-base__label
id_input_password7,"<input type=""password"" class=""zds-input-base__input"" name=""password"" data-qa-input-qualifier=""password"" aria-required=""true"" autocomplete=""new-password"" placeholder="" "" value="""" id=""password7"" aria-describedby=""zds-5"">",//input[@id='password7'],input#password7,zds-input-base__input
id_div_zds-5,"<div class=""zds-input-base__slot"" id=""zds-5""><div role=""alert""></div></div>",//div[@id='zds-5'],div#zds-5,zds-input-base__slot
id_label_zds-8,"<label class=""zds-input-base__label"" for=""firstName11"" id=""zds-8"">Name</label>",//label[@id='zds-8'],label#zds-8,zds-input-base__label
id_input_firstName11,"<input type=""text"" class=""zds-input-base__input"" name=""firstName"" data-qa-input-qualifier=""firstName"" aria-required=""true"" autocomplete=""given-name"" placeholder="" "" value="""" id=""firstName11"" aria-describedby=""zds-9"">",//input[@id='firstName11'],input#firstName11,zds-input-base__input
id_div_zds-9,"<div class=""zds-input-base__slot"" id=""zds-9""><div role=""alert""></div></div>",//div[@id='zds-9'],div#zds-9,zds-input-base__slot
id_label_zds-12,"<label class=""zds-input-base__label"" for=""lastName15"" id=""zds-12"">Surname</label>",//label[@id='zds-12'],label#zds-12,zds-input-base__label
id_input_lastName15,"<input type=""text"" class=""zds-input-base__input"" name=""lastName"" data-qa-input-qualifier=""lastName"" aria-required=""true"" autocomplete=""family-name"" placeholder="" "" value="""" id=""lastName15"" aria-describedby=""zds-13"">",//input[@id='lastName15'],input#lastName15,zds-input-base__input
id_div_zds-13,"<div class=""zds-input-base__slot"" id=""zds-13""><div role=""alert""></div></div>",//div[@id='zds-13'],div#zds-13,zds-input-base__slot
id_label_downshift-36-label,"<label class=""zds-input-base__label zds-input-base__label--has-content"" for=""downshift-36-input"" id=""downshift-36-label"">Prefix</label>",//label[@id='downshift-36-label'],label#downshift-36-label,zds-input-base__label zds-input-base__label--has-content
id_input_phone.prefix19,"<input type=""text"" class=""zds-input-base__input zds-input-base__input--has-content"" aria-activedescendant="""" aria-autocomplete=""list"" aria-controls=""downshift-36-menu"" aria-expanded=""false"" aria-labelledby=""downshift-36-label"" role=""combobox"" name=""phone.prefix"" data-qa-input-qualifier=""phone.prefix"" placeholder="" "" value=""+353"" id=""phone.prefix19"" aria-describedby=""zds-17"">",//input[@id='phone.prefix19'],input#phone.prefix19,zds-input-base__input zds-input-base__input--has-content
id_div_zds-17,"<div class=""zds-input-base__slot"" id=""zds-17""><div role=""alert""></div></div>",//div[@id='zds-17'],div#zds-17,zds-input-base__slot
id_label_zds-20,"<label class=""zds-input-base__label"" for=""phone.number23"" id=""zds-20"">Telephone</label>",//label[@id='zds-20'],label#zds-20,zds-input-base__label
id_input_phone.number23,"<input type=""tel"" class=""zds-input-base__input"" name=""phone.number"" data-qa-input-qualifier=""phone.number"" aria-required=""true"" autocomplete=""tel-national"" placeholder="" "" value="""" id=""phone.number23"" aria-describedby=""zds-21"">",//input[@id='phone.number23'],input#phone.number23,zds-input-base__input
id_div_zds-21,"<div class=""zds-input-base__slot"" id=""zds-21""><div role=""alert""></div></div>",//div[@id='zds-21'],div#zds-21,zds-input-base__slot
cls_div_zds-alert-banner,"<div class=""zds-alert-banner""><div class=""zds-alert-banner__content zds-alert-banner__content--general zds-alert-banner__content--low""><div class=""zds-alert-banner__message"">We will send you an SMS to verify your phone number</div></div></div>","//div[contains(@class, 'zds-alert-banner')]",div.zds-alert-banner,zds-alert-banner
cls_div_zds-alert-banner__content,"<div class=""zds-alert-banner__content zds-alert-banner__content--general zds-alert-banner__content--low""><div class=""zds-alert-banner__message"">We will send you an SMS to verify your phone number</div></div>","//div[contains(@class, 'zds-alert-banner__content')]",div.zds-alert-banner__content,zds-alert-banner__content zds-alert-banner__content--general zds-alert-banner__content--low
cls_div_zds-alert-banner__message,"<div class=""zds-alert-banner__message"">We will send you an SMS to verify your phone number</div>","//div[contains(@class, 'zds-alert-banner__message')]",div.zds-alert-banner__message,zds-alert-banner__message
cls_label_zds-checkbox,"<label class=""zds-checkbox form-input-checkbox""><input type=""checkbox"" class=""zds-checkbox-input zds-sr-only form-input-checkbox__input"" name=""newsletterCheck"" value=""false"" slot=""[object Object]"" data-qa-input-qualifier=""newsletterCheck"" id=""newsletterCheck24""><span class=""zds-checkbox-control""><svg width=""12"" height=""12"" viewBox=""0 0 12 12"" fill=""inherit"" xmlns=""http://www.w3.org/2000/svg"" aria-hidden=""true"" class=""zds-checkbox-icon zds-checkbox-icon--checked"" focusable=""false""><g clip-path=""url(#clip0_77","//label[contains(@class, 'zds-checkbox')]",label.zds-checkbox,zds-checkbox form-input-checkbox
id_input_newsletterCheck24,"<input type=""checkbox"" class=""zds-checkbox-input zds-sr-only form-input-checkbox__input"" name=""newsletterCheck"" value=""false"" slot=""[object Object]"" data-qa-input-qualifier=""newsletterCheck"" id=""newsletterCheck24"">",//input[@id='newsletterCheck24'],input#newsletterCheck24,zds-checkbox-input zds-sr-only form-input-checkbox__input
cls_span_zds-checkbox-control,"<span class=""zds-checkbox-control""><svg width=""12"" height=""12"" viewBox=""0 0 12 12"" fill=""inherit"" xmlns=""http://www.w3.org/2000/svg"" aria-hidden=""true"" class=""zds-checkbox-icon zds-checkbox-icon--checked"" focusable=""false""><g clip-path=""url(#clip0_7770_1351)""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M11.4 0.6H0.6V11.4H11.4V0.6ZM0 0V12H12V0H0Z"" fill=""inherit""></path><path d=""M4 4H8V8H4V4Z"" fill=""inherit""></path></g><defs><clipPath id=""clip0_7770_1351""><rect width=""12"" height=""12"" fill=""white""></rect>","//span[contains(@class, 'zds-checkbox-control')]",span.zds-checkbox-control,zds-checkbox-control
cls_span_zds-checkbox-label,"<span class=""zds-checkbox-label form-input-checkbox__label""><span>I want to receive personalised commercial communications from <strong>ZARA</strong> by email.</span></span>","//span[contains(@class, 'zds-checkbox-label')]",span.zds-checkbox-label,zds-checkbox-label form-input-checkbox__label
cls_div_form-input__slot,"<div class=""form-input__slot""></div>","//div[contains(@class, 'form-input__slot')]",div.form-input__slot,form-input__slot
id_input_privacyCheck27,"<input type=""checkbox"" class=""zds-checkbox-input zds-sr-only form-input-checkbox__input"" name=""privacyCheck"" value=""false"" slot=""[object Object]"" data-qa-input-qualifier=""privacyCheck"" id=""privacyCheck27"">",//input[@id='privacyCheck27'],input#privacyCheck27,zds-checkbox-input zds-sr-only form-input-checkbox__input
cls_button_toggle-dialog-button,"<button class=""toggle-dialog-button"" data-qa-action=""open-privacy-details"" type=""button"">Privacy and Cookies Policy.</button>","//button[contains(@class, 'toggle-dialog-button')]",button.toggle-dialog-button,toggle-dialog-button
cls_div_form__footer,"<div class=""form__footer sign-up-view__form-footer""><button class=""zds-button zds-button--secondary zds-button--small"" role=""button"" data-qa-action=""sign-up-submit"">Create Account</button></div>","//div[contains(@class, 'form__footer')]",div.form__footer,form__footer sign-up-view__form-footer
cls_div_help-view__content,"<div class=""help-view__content""><div class=""help-view__search-box"" style=""fill: rgb(0, 0, 0); color: rgb(0, 0, 0);""><div class=""content-header help-view__search-box-title""><div class=""content-header__info""><h1 class=""content-header__title"">Help</h1></div></div><div class=""help-search-box help-view__search""><div class=""ais-SearchBox help-search-box__search-box-root""><form action="""" class=""ais-SearchBox-form help-search-box__search-box-form"" novalidate=""""><input class=""ais-SearchBox-input help-search-box__sea","//div[contains(@class, 'help-view__content')]",div.help-view__content,help-view__content
cls_div_help-view__search-box,"<div class=""help-view__search-box"" style=""fill: rgb(0, 0, 0); color: rgb(0, 0, 0);""><div class=""content-header help-view__search-box-title""><div class=""content-header__info""><h1 class=""content-header__title"">Help</h1></div></div><div class=""help-search-box help-view__search""><div class=""ais-SearchBox help-search-box__search-box-root""><form action="""" class=""ais-SearchBox-form help-search-box__search-box-form"" novalidate=""""><input class=""ais-SearchBox-input help-search-box__search-box-input"" autocomplete=""off","//div[contains(@class, 'help-view__search-box')]",div.help-view__search-box,help-view__search-box
cls_div_help-search-box,"<div class=""help-search-box help-view__search""><div class=""ais-SearchBox help-search-box__search-box-root""><form action="""" class=""ais-SearchBox-form help-search-box__search-box-form"" novalidate=""""><input class=""ais-SearchBox-input help-search-box__search-box-input"" autocomplete=""off"" autocorrect=""off"" autocapitalize=""off"" placeholder=""How can we help you? "" spellcheck=""false"" maxlength=""512"" type=""search"" value=""""><button class=""ais-SearchBox-submit"" type=""submit"" title=""Submit the search query""><svg class=","//div[contains(@class, 'help-search-box')]",div.help-search-box,help-search-box help-view__search
cls_div_ais-SearchBox,"<div class=""ais-SearchBox help-search-box__search-box-root""><form action="""" class=""ais-SearchBox-form help-search-box__search-box-form"" novalidate=""""><input class=""ais-SearchBox-input help-search-box__search-box-input"" autocomplete=""off"" autocorrect=""off"" autocapitalize=""off"" placeholder=""How can we help you? "" spellcheck=""false"" maxlength=""512"" type=""search"" value=""""><button class=""ais-SearchBox-submit"" type=""submit"" title=""Submit the search query""><svg class=""ais-SearchBox-submitIcon"" width=""10"" height=""1","//div[contains(@class, 'ais-SearchBox')]",div.ais-SearchBox,ais-SearchBox help-search-box__search-box-root
cls_input_ais-SearchBox-input,"<input class=""ais-SearchBox-input help-search-box__search-box-input"" autocomplete=""off"" autocorrect=""off"" autocapitalize=""off"" placeholder=""How can we help you? "" spellcheck=""false"" maxlength=""512"" type=""search"" value="""">","//input[contains(@class, 'ais-SearchBox-input')]",input.ais-SearchBox-input,ais-SearchBox-input help-search-box__search-box-input
cls_button_ais-SearchBox-submit,"<button class=""ais-SearchBox-submit"" type=""submit"" title=""Submit the search query""><svg class=""ais-SearchBox-submitIcon"" width=""10"" height=""10"" viewBox=""0 0 40 40""><path d=""M26.804 29.01c-2.832 2.34-6.465 3.746-10.426 3.746C7.333 32.756 0 25.424 0 16.378 0 7.333 7.333 0 16.378 0c9.046 0 16.378 7.333 16.378 16.378 0 3.96-1.406 7.594-3.746 10.426l10.534 10.534c.607.607.61 1.59-.004 2.202-.61.61-1.597.61-2.202.004L26.804 29.01zm-10.426.627c7.323 0 13.26-5.936 13.26-13.26 0-7.32-5.937-13.257-13.26-13.257C9.056 ","//button[contains(@class, 'ais-SearchBox-submit')]",button.ais-SearchBox-submit,ais-SearchBox-submit
cls_button_ais-SearchBox-reset,"<button class=""ais-SearchBox-reset help-search-box__search-box-reset"" type=""reset"" title="""" hidden=""""><svg role=""img"" aria-label=""Clear search"" class=""help-search-box__search-box-reset-icon"" data-qa-action=""searchbox-dismiss-button"" width=""24"" height=""24"" viewBox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path d=""M12 12.707l6.846 6.846.708-.707L12.707 12l6.847-6.846-.707-.708L12 11.293 5.154 4.446l-.707.708L11.293 12l-6.846 6.846.707.707L12 12.707z""></path></svg></button","//button[contains(@class, 'ais-SearchBox-reset')]",button.ais-SearchBox-reset,ais-SearchBox-reset help-search-box__search-box-reset
cls_span_ais-SearchBox-loadingIndicator,"<span class=""ais-SearchBox-loadingIndicator help-search-box__search-box-loading"" hidden=""""><svg width=""16"" height=""16"" viewBox=""0 0 38 38"" stroke=""#444"" class=""ais-SearchBox-loadingIcon""><g fill=""none"" fill-rule=""evenodd""><g transform=""translate(1 1)"" stroke-width=""2""><circle stroke-opacity="".5"" cx=""18"" cy=""18"" r=""18""></circle><path d=""M36 18c0-9.94-8.06-18-18-18""><animateTransform attributeName=""transform"" type=""rotate"" from=""0 18 18"" to=""360 18 18"" dur=""1s"" repeatCount=""indefinite""></animateTransform></pa","//span[contains(@class, 'ais-SearchBox-loadingIndicator')]",span.ais-SearchBox-loadingIndicator,ais-SearchBox-loadingIndicator help-search-box__search-box-loading
cls_div_help-search-box__hits-wrapper,"<div class=""help-search-box__hits-wrapper"" style=""max-height: 268px;""><div class=""help-search-hits__container""></div></div>","//div[contains(@class, 'help-search-box__hits-wrapper')]",div.help-search-box__hits-wrapper,help-search-box__hits-wrapper
cls_div_help-search-hits__container,"<div class=""help-search-hits__container""></div>","//div[contains(@class, 'help-search-hits__container')]",div.help-search-hits__container,help-search-hits__container
cls_div_help-view__background-image,"<div class=""help-view__background-image""><div class=""media help-view__help-cover""><div class=""media__wrapper media__wrapper--cover media__wrapper--fill""><img class=""media-image__image media__wrapper--media"" data-qa-qualifier=""media-image"" alt=""Two models in a warm setting. Left: black ensemble with headscarf. Right: white dress with lace and long necklaces."" src=""https://static.zara.net/assets/public/c97d/7548/8d884b26b052/5c27a25f70f7/image-landscape-web-6ef0f7eb-05f8-4037-a975-b92337de495f-default_0/image","//div[contains(@class, 'help-view__background-image')]",div.help-view__background-image,help-view__background-image
qaid_div_help-image-veil,"<div data-qa-id=""help-image-veil"" class=""help-view__background-image-veil help-view__background-image-veil-light""></div>",//div[@data-qa-id='help-image-veil'],div[data-qa-id='help-image-veil'],help-view__background-image-veil help-view__background-image-veil-light
